date,npm_day,npm_week,npm_month,npm_alltime,npm_latest,docker_pulls,docker_tags,gh_stars,gh_forks,gh_views_14d,gh_views_unique_14d,gh_clones_14d,gh_clones_unique_14d
2026-07-08,59,530,1227,5687,4.5.3,3012,78,0,0,,,,
2026-07-09,59,530,1227,5687,4.5.3,3019,78,0,0,,,,
2026-07-10,67,558,1284,5754,4.5.3,3021,78,0,0,,,,
2026-07-11,67,558,1284,5782,4.5.3,3025,78,0,0,,,,
2026-07-12,21,268,1247,5838,4.5.3,3026,78,0,0,,,,
2026-07-13,21,268,1247,5838,4.5.3,3050,78,0,0,,,,
2026-07-24,38,237,1239,6157,4.5.3,3247,78,0,0,,,,
2026-07-25,33,222,1238,6190,4.5.3,3270,78,0,0,,,,
2026-07-26,32,226,1243,6252,4.5.3,3311,78,0,0,,,,
2026-07-27,32,226,1243,6301,4.5.3,3402,78,0,0,,,,
2026-07-28,32,226,1243,6301,4.5.3,3410,78,0,0,,,,
2026-07-29,32,226,1243,6338,4.5.3,3428,78,0,0,,,,
2026-07-30,35,254,1274,6373,4.5.3,3435,78,0,0,,,,
2026-07-31,29,245,1247,6402,4.5.3,3445,78,0,0,,,,
2026-08-01,38,250,1244,6440,4.5.3,3457,78,0,0,,,,
2026-08-02,25,254,1118,6506,4.5.3,3471,78,0,0,,,,
2026-08-03,29,234,1028,6535,4.5.3,3483,78,0,0,,,,
2026-08-04,29,234,1028,6535,4.5.3,3498,78,0,0,,,,
2026-08-05,25,222,990,6560,4.5.3,3501,78,0,0,,,,
2026-08-06,29,216,960,6589,4.5.3,3508,78,0,0,,,,
2026-08-07,40,227,942,6629,4.5.3,3512,78,0,0,,,,
2026-08-08,43,232,985,6672,4.5.3,3524,78,0,0,,,,
2026-08-09,43,232,985,6725,4.5.3,3529,78,0,0,,,,
2026-08-10,32,251,975,6757,4.5.3,3639,78,0,0,,,,
2026-08-11,390,612,1330,7147,4.5.3,3696,78,0,0,,,,
2026-08-12,390,612,1330,7527,4.5.3,3782,78,0,0,,,,
2026-08-13,390,612,1330,7970,4.5.3,3783,78,0,0,,,,
2026-08-14,390,612,1330,8187,4.5.3,3786,78,0,0,,,,
2026-08-15,390,612,1330,8576,4.5.3,3795,78,0,0,,,,
2026-08-16,390,612,1330,8576,4.5.3,3807,78,0,0,,,,
2026-08-17,592,2411,3200,9168,4.5.3,3897,78,0,0,,,,
2026-08-18,592,2411,3200,9252,4.5.3,3983,78,0,0,,,,
2026-08-19,592,2411,3200,9979,4.5.3,3992,78,0,0,,,,
2026-08-20,654,2663,4567,10633,4.5.3,3993,78,0,0,,,,
2026-08-21,454,2900,4998,11087,4.5.3,4098,78,0,0,,,,
2026-08-22,744,3255,5712,11831,4.5.3,4132,78,0,0,,,,
2026-08-23,626,3881,6300,12457,4.6.2,5984,95,0,0,,,,
2026-08-24,669,3958,6936,13126,4.6.2,6179,95,0,0,,,,
2026-08-25,207,4081,7111,13333,4.6.2,6363,95,0,0,,,,
2026-08-26,130,3484,7211,13463,4.6.2,6435,95,0,0,,,,
2026-08-27,61,2537,7286,13624,4.6.2,6443,95,0,0,,,,
2026-08-28,76,1869,7327,13700,4.6.2,6669,95,0,0,,,,
2026-08-29,76,1869,7327,13700,4.6.2,6694,95,0,0,,,,
2026-08-30,50,678,7364,13804,4.6.2,6702,95,0,0,,,,
2026-08-31,50,678,7364,13848,4.6.2,6724,95,0,0,,,,
2026-09-01,50,678,7364,13848,4.6.2,6776,95,0,0,,,,
2026-09-02,50,678,7364,13848,4.6.2,7054,95,0,0,,,,
2026-09-03,50,678,7364,13887,4.8.0,7348,101,0,0,,,,
2026-09-04,50,678,7364,13887,4.8.0,7400,101,0,0,,,,
